
(RL-torch) C:\Users\kator\OneDrive\ドキュメント\ResearchFloodit\excute file>python floodit-torch-learning.py
pygame 2.0.1 (SDL 2.0.14, Python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html



**************************************************  FloodIt  **************************************************
action_space      : Discrete(6)
observation_space : Box(0, 5, (1, 6, 6), uint8)
reward_range      : (-inf, inf)

cnn_out_size= 512
cnn_out_size= 512
Episode: 34600,  Episode-Step: 1,  Reward: -0.5
Episode: 34700,  Episode-Step: 1,  Reward: -0.5
Episode: 34800,  Episode-Step: 3,  Reward: 1.0666666666666667
Episode: 34900,  Episode-Step: 1,  Reward: -0.5
Episode: 35000,  Episode-Step: 1,  Reward: -0.5
Episode: 35100,  Episode-Step: 1,  Reward: -0.5
Episode: 35200,  Episode-Step: 1,  Reward: -0.5
Episode: 35300,  Episode-Step: 2,  Reward: -0.3416666666666667
Episode: 35400,  Episode-Step: 1,  Reward: -0.5
Episode: 35500,  Episode-Step: 1,  Reward: -0.5
Episode: 35600,  Episode-Step: 1,  Reward: -0.5
Episode: 35700,  Episode-Step: 1,  Reward: -0.5
Episode: 35800,  Episode-Step: 2,  Reward: 0.07500000000000007
Episode: 35900,  Episode-Step: 1,  Reward: -0.5
Episode: 36000,  Episode-Step: 3,  Reward: 0.9833333333333334
Episode: 36100,  Episode-Step: 1,  Reward: -0.5
Episode: 36200,  Episode-Step: 1,  Reward: -0.5
Episode: 36300,  Episode-Step: 1,  Reward: -0.5
Episode: 36400,  Episode-Step: 1,  Reward: -0.5
Episode: 36500,  Episode-Step: 1,  Reward: -0.5
Episode: 36600,  Episode-Step: 1,  Reward: -0.5
Episode: 36700,  Episode-Step: 1,  Reward: -0.5
Episode: 36800,  Episode-Step: 1,  Reward: -0.5
Episode: 36900,  Episode-Step: 1,  Reward: -0.5
Episode: 37000,  Episode-Step: 1,  Reward: -0.5
Episode: 37100,  Episode-Step: 1,  Reward: -0.5
Episode: 37200,  Episode-Step: 1,  Reward: -0.5
Episode: 37300,  Episode-Step: 1,  Reward: -0.5
Episode: 37400,  Episode-Step: 2,  Reward: 2.2416666666666667
Episode: 37500,  Episode-Step: 2,  Reward: 1.4083333333333334
Episode: 37600,  Episode-Step: 1,  Reward: -0.5
Episode: 37700,  Episode-Step: 3,  Reward: 1.6500000000000004
Episode: 37800,  Episode-Step: 2,  Reward: -0.3416666666666667
Episode: 37900,  Episode-Step: 1,  Reward: -0.5
Episode: 38000,  Episode-Step: 1,  Reward: -0.5
Episode: 38100,  Episode-Step: 1,  Reward: -0.5
Episode: 38200,  Episode-Step: 1,  Reward: -0.5
Episode: 38300,  Episode-Step: 2,  Reward: 0.9083333333333334
Episode: 38400,  Episode-Step: 1,  Reward: -0.5
Episode: 38500,  Episode-Step: 2,  Reward: 2.158333333333333
Episode: 38600,  Episode-Step: 1,  Reward: -0.5
Episode: 38700,  Episode-Step: 1,  Reward: -0.5
Episode: 38800,  Episode-Step: 1,  Reward: -0.5
Episode: 38900,  Episode-Step: 2,  Reward: 1.2416666666666667
Episode: 39000,  Episode-Step: 1,  Reward: -0.5
Episode: 39100,  Episode-Step: 1,  Reward: -0.5
Episode: 39200,  Episode-Step: 1,  Reward: -0.5
Episode: 39300,  Episode-Step: 1,  Reward: -0.5
Episode: 39400,  Episode-Step: 1,  Reward: -0.5
Episode: 39500,  Episode-Step: 1,  Reward: -0.5
Episode: 39600,  Episode-Step: 3,  Reward: -0.35
Episode: 39700,  Episode-Step: 2,  Reward: 0.07500000000000007
Episode: 39800,  Episode-Step: 1,  Reward: -0.5
Episode: 39900,  Episode-Step: 1,  Reward: -0.5
Episode: 40000,  Episode-Step: 1,  Reward: -0.5
Episode: 40100,  Episode-Step: 1,  Reward: -0.5
Episode: 40200,  Episode-Step: 2,  Reward: 0.825
Episode: 40300,  Episode-Step: 1,  Reward: -0.5
Episode: 40400,  Episode-Step: 1,  Reward: -0.5
Episode: 40500,  Episode-Step: 1,  Reward: -0.5
Episode: 40600,  Episode-Step: 2,  Reward: -0.17500000000000004
Episode: 40700,  Episode-Step: 1,  Reward: -0.5
Episode: 40800,  Episode-Step: 3,  Reward: 2.1500000000000004
Episode: 40900,  Episode-Step: 1,  Reward: -0.5
Episode: 41000,  Episode-Step: 3,  Reward: -0.016666666666666663
Episode: 41100,  Episode-Step: 1,  Reward: -0.5
Episode: 41200,  Episode-Step: 1,  Reward: -0.5
Episode: 41300,  Episode-Step: 1,  Reward: -0.5
Episode: 41400,  Episode-Step: 1,  Reward: -0.5
Episode: 41500,  Episode-Step: 1,  Reward: -0.5
Episode: 41600,  Episode-Step: 1,  Reward: -0.5
Episode: 41700,  Episode-Step: 1,  Reward: -0.5
Episode: 41800,  Episode-Step: 1,  Reward: -0.5
Episode: 41900,  Episode-Step: 1,  Reward: -0.5
Episode: 42000,  Episode-Step: 1,  Reward: -0.5
Episode: 42100,  Episode-Step: 1,  Reward: -0.5
Episode: 42200,  Episode-Step: 1,  Reward: -0.5
Episode: 42300,  Episode-Step: 1,  Reward: -0.5
Episode: 42400,  Episode-Step: 2,  Reward: 1.9916666666666667
Episode: 42500,  Episode-Step: 1,  Reward: -0.5
Episode: 42600,  Episode-Step: 1,  Reward: -0.5
Episode: 42700,  Episode-Step: 1,  Reward: -0.5
Episode: 42800,  Episode-Step: 2,  Reward: 0.7416666666666667
Episode: 42900,  Episode-Step: 2,  Reward: 1.1583333333333334
Episode: 43000,  Episode-Step: 1,  Reward: -0.5
Episode: 43100,  Episode-Step: 1,  Reward: -0.5
Episode: 43200,  Episode-Step: 2,  Reward: -0.425
Episode: 43300,  Episode-Step: 2,  Reward: -0.425
Episode: 43400,  Episode-Step: 2,  Reward: 0.4916666666666667
Episode: 43500,  Episode-Step: 3,  Reward: -0.35
Episode: 43600,  Episode-Step: 1,  Reward: -0.5
